Species,Species3,Tree.name
Hoary-throated Barwing,Actinodura nipalensis,Actinodura_nipalensis
Hume's Bush Warbler,Cettia brunnescens,Cettia_brunnescens
Peregrine Falcon,Falco pelegrinoides,Falco_pelegrinoides
Peregrine Falcon,Falco peregrinus,Falco_peregrinus
Black-headed Shrike-Babbler,Pteruthius rufiventer,Pteruthius_rufiventer
Besra,Accipiter virgatus,Accipiter_virgatus
White-gorgeted Flycatcher,Ficedula monileger,Ficedula_monileger
White-browed Scimitar-Babbler,Pomatorhinus schisticeps,Pomatorhinus_schisticeps
Long-tailed Thrush,Zoothera dixoni,Zoothera_dixoni
Gray-winged Blackbird,Turdus boulboul,Turdus_boulboul
Snowy-browed Flycatcher,Ficedula hyperythra,Ficedula_hyperythra
Scaly Thrush,Zoothera dauma,Zoothera_dauma
Changeable Hawk-Eagle,Nisaetus cirrhatus,Nisaetus_cirrhatus
Black Redstart,Phoenicurus ochruros,Phoenicurus_ochruros
Chestnut-eared Bunting,Emberiza fucata,Emberiza_fucata
Godlewski's Bunting,Emberiza godlewskii,Emberiza_godlewskii
Yunnan Nuthatch,Sitta yunnanensis,Sitta_yunnanensis
Tickell's Thrush,Turdus unicolor,Turdus_unicolor
Crimson Sunbird,Aethopyga siparaja,Aethopyga_siparaja
Chestnut-capped Babbler,Timalia pileata,Timalia_pileata
Chinese Rubythroat,Luscinia pectoralis,Luscinia_pectoralis
Golden-headed Cisticola,Cisticola exilis,Cisticola_exilis
Jerdon's Babbler,Chrysomma altirostre,Chrysomma_altirostre
Marsh Babbler,Pellorneum palustre,Pellorneum_palustre
Rose-ringed Parakeet,Psittacula krameri,Psittacula_krameri
Spot-breasted Scimitar-Babbler,Pomatorhinus mcclellandi,Pomatorhinus_mcclellandi
Striated Babbler,Turdoides earlei,Turdoides_earlei
Amur Falcon,Falco amurensis,Falco_amurensis
Barred Buttonquail,Turnix suscitator,Turnix_suscitator
Bengal Bushlark,Mirafra assamica,Mirafra_assamica
Bengal Florican,Houbaropsis bengalensis,Houbaropsis_bengalensis
Black Kite,Milvus migrans,Milvus_migrans
Blue-breasted Quail,Coturnix chinensis,Coturnix_chinensis
Zitting Cisticola,Cisticola juncidis,Cisticola_juncidis
Ferruginous Flycatcher,Muscicapa ferruginea,Muscicapa_ferruginea
Gould's Shortwing,Brachypteryx stellata,Brachypteryx_stellata
Brown-breasted Flycatcher,Muscicapa muttui,Muscicapa_muttui
Northern Pintail,Anas acuta,Anas_acuta
White-throated Dipper,Cinclus cinclus,Cinclus_cinclus
Temminck's Tragopan,Tragopan temminckii,Tragopan_temminckii
Himalayan Shortwing,Brachypteryx montana,Brachypteryx_montana
Gold-naped Finch,Pyrrhoplectes epauletta,Pyrrhoplectes_epauletta
Northern Goshawk,Accipiter gentilis,Accipiter_gentilis
Silver-backed Needletail,Hirundapus cochinchinensis,Hirundapus_cochinchinensis
Buff-throated Warbler,Phylloscopus subaffinis,Phylloscopus_subaffinis
Dusky Thrush,Turdus naumanni,Turdus_naumanni
Oriental Skylark,Alauda gulgula,Alauda_gulgula
Red-rumped Swallow,Hirundo daurica,Hirundo_daurica
Red-rumped Swallow,Hirundo striolata,Hirundo_striolata
Mishmi Wren-Babbler,Spelaeornis badeigularis,Spelaeornis_badeigularis
Aberrant Bush Warbler,Cettia flavolivacea,Cettia_flavolivacea
Aberrant Bush Warbler,Cettia vulcania,Cettia_vulcania
Black-headed Greenfinch,Carduelis ambigua,Carduelis_ambigua
Pale-billed Parrotbill,Paradoxornis atrosuperciliaris,Paradoxornis_atrosuperciliaris
White-hooded Babbler,Gampsorhynchus rufulus,Gampsorhynchus_rufulus
Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus,Carpodacus_pulcherrimus
Spot-winged Starling,Saroglossa spiloptera,Saroglossa_spiloptera
Citrine Wagtail,Motacilla citreola,Motacilla_citreola
Ashy-headed Green-Pigeon,Treron pompadora,Treron_pompadora
River Tern,Sterna aurantia,Sterna_aurantia
Banded Bay Cuckoo,Cacomantis sonneratii,Cacomantis_sonneratii
Siberian Rubythroat,Luscinia calliope,Luscinia_calliope
Yellow-footed Green-Pigeon,Treron phoenicopterus,Treron_phoenicopterus
Bearded Vulture,Gypaetus barbatus,Gypaetus_barbatus
Solitary Snipe,Gallinago solitaria,Gallinago_solitaria
Red-throated Thrush,Turdus ruficollis,Turdus_ruficollis
Blanford's Rosefinch,Carpodacus rubescens,Carpodacus_rubescens
Tibetan Blackbird,Turdus merula,Turdus_merula
Black-headed Mountain Finch,Leucosticte brandti,Leucosticte_brandti
White-bellied Redstart,Hodgsonius phaenicuroides,Hodgsonius_phaenicuroides
Brown Parrotbill,Paradoxornis unicolor,Paradoxornis_unicolor
Brown Bush Warbler,Bradypterus luteoventris,Bradypterus_luteoventris
Common Swift,Apus apus,Apus_apus
Dark-rumped Rosefinch,Carpodacus edwardsii,Carpodacus_edwardsii
Yellow-billed Chough,Pyrrhocorax graculus,Pyrrhocorax_graculus
Plain Flowerpecker,Dicaeum concolor,Dicaeum_concolor
Rufescent Prinia,Prinia rufescens,Prinia_rufescens
Steppe Eagle,Aquila nipalensis,Aquila_nipalensis
Golden Eagle,Aquila chrysaetos,Aquila_chrysaetos
Tibetan Serin,Serinus thibetanus,Serinus_thibetanus
Bar-headed Goose,Anser indicus,Anser_indicus
Black-winged Kite,Elanus caeruleus,Elanus_caeruleus
Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeum_cruentatum
Smoky Warbler,Phylloscopus fuligiventer,Phylloscopus_fuligiventer
Eurasian Moorhen,Gallinula chloropus,Gallinula_chloropus
Black-capped Kingfisher,Halcyon pileata,Halcyon_pileata
Bar-tailed Treecreeper,Certhia himalayana,Certhia_himalayana
Flavescent Bulbul,Pycnonotus flavescens,Pycnonotus_flavescens
Hen Harrier,Circus cyaneus,Circus_cyaneus
Spot-breasted Parrotbill,Paradoxornis guttaticollis,Paradoxornis_guttaticollis
Black-necked Crane,Grus nigricollis,Grus_nigricollis
Lesser Fish-Eagle,Ichthyophaga humilis,Ichthyophaga_humilis
Blue-winged Leafbird,Chloropsis cochinchinensis,Chloropsis_cochinchinensis
Black-naped Oriole,Oriolus chinensis,Oriolus_chinensis
House Crow,Corvus splendens,Corvus_splendens
Green Cochoa,Cochoa viridis,Cochoa_viridis
Brambling,Fringilla montifringilla,Fringilla_montifringilla
Himalayan Prinia,Prinia crinigera,Prinia_crinigera
White-cheeked Starling,Sturnus cineraceus,Sturnus_cineraceus
Eurasian Jay,Garrulus glandarius,Garrulus_glandarius
Baya Weaver,Ploceus philippinus,Ploceus_philippinus
Blue-eared Barbet,Megalaima australis,Megalaima_australis
Bluethroat,Luscinia svecica,Luscinia_svecica
Chestnut-headed Bee-eater,Merops leschenaulti,Merops_leschenaulti
Clamorous Reed Warbler,Acrocephalus stentoreus,Acrocephalus_stentoreus
Long-legged Buzzard,Buteo rufinus,Buteo_rufinus
Watercock,Gallicrex cinerea,Gallicrex_cinerea
Purple Cochoa,Cochoa purpurea,Cochoa_purpurea
Sapphire Flycatcher,Ficedula sapphira,Ficedula_sapphira
Chestnut Bunting,Emberiza rutila,Emberiza_rutila
Gray-headed Lapwing,Vanellus cinereus,Vanellus_cinereus
Paddyfield Warbler,Acrocephalus agricola,Acrocephalus_agricola
Buff-breasted Babbler,Trichastoma tickelli,Trichastoma_tickelli
Sichuan Leaf Warbler,Phylloscopus forresti,Phylloscopus_forresti
Rufous-headed Parrotbill,Paradoxornis ruficeps,Paradoxornis_ruficeps
White-rumped Vulture,Gyps bengalensis,Gyps_bengalensis
Rufous-chinned Laughingthrush,Garrulax rufogularis,Garrulax_rufogularis
Long-billed Thrush,Zoothera monticola,Zoothera_monticola
Dark-necked Tailorbird,Orthotomus atrogularis,Orthotomus_atrogularis
Oriental Bay-Owl,Phodilus badius,Phodilus_badius
Blyth's Kingfisher,Alcedo hercules,Alcedo_hercules
Fire-capped Tit,Cephalopyrus flammiceps,Cephalopyrus_flammiceps
Chestnut-vented Nuthatch,Sitta nagaensis,Sitta_nagaensis
Indian Grassbird,Graminicola bengalensis,Graminicola_bengalensis
Plain Prinia,Prinia inornata,Prinia_inornata
Crested Finchbill,Spizixos canifrons,Spizixos_canifrons
White-browed Fulvetta,Alcippe vinipectus,Alcippe_vinipectus
White-bellied Heron,Ardea insignis,Ardea_insignis
Eurasian Crag-Martin,Hirundo rupestris,Hirundo_rupestris
House Swift,Apus nipalensis,Apus_nipalensis
Slender-billed Vulture,Gyps tenuirostris,Gyps_tenuirostris
Black-breasted Thrush,Turdus dissimilis,Turdus_dissimilis
Red Collared-Dove,Streptopelia tranquebarica,Streptopelia_tranquebarica
Brown Boobook,Ninox scutulata,Ninox_scutulata
Eurasian Wryneck,Jynx torquilla,Jynx_torquilla
Coppersmith Barbet,Megalaima haemacephala,Megalaima_haemacephala
Rufous-bellied Eagle,Lophotriorchis kienerii,Lophotriorchis_kienerii
Eyebrowed Thrush,Turdus obscurus,Turdus_obscurus
Rufous-vented Laughingthrush,Garrulax gularis,Garrulax_gularis
Hill Prinia,Prinia atrogularis,Prinia_atrogularis
Snowy-throated Babbler,Stachyris oglei,Stachyris_oglei
Pied Harrier,Circus melanoleucos,Circus_melanoleucos
Yellow Bittern,Ixobrychus sinensis,Ixobrychus_sinensis
Orange-headed Thrush,Zoothera citrina,Zoothera_citrina
Chestnut-crowned Bush Warbler,Cettia major,Cettia_major
Delicate Prinia,Prinia gracilis,Prinia_gracilis
Mountain Bamboo-Partridge,Bambusicola fytchii,Bambusicola_fytchii
Rosy Minivet,Pericrocotus roseus,Pericrocotus_roseus
Common Redshank,Tringa totanus,Tringa_totanus
Temminck's Stint,Calidris temminckii,Calidris_temminckii
Himalayan Thrush,Zoothera mollissima,Zoothera_mollissima
Altai Accentor,Prunella himalayana,Prunella_himalayana
Intermediate Egret,Mesophoyx intermedia,Mesophoyx_intermedia
Eastern Yellow Wagtail,Motacilla flava,Motacilla_flava
Koklass Pheasant,Pucrasia macrolopha,Pucrasia_macrolopha
Red-throated Pipit,Anthus cervinus,Anthus_cervinus
Lesser Adjutant,Leptoptilos javanicus,Leptoptilos_javanicus
Large Blue Flycatcher,Cyornis magnirostris,Cyornis_magnirostris
Slender-billed Oriole,Oriolus tenuirostris,Oriolus_tenuirostris
Brown-headed Gull,Larus brunnicephalus,Larus_brunnicephalus
Brown-backed Needletail,Hirundapus giganteus,Hirundapus_giganteus
Ruddy Kingfisher,Halcyon coromanda,Halcyon_coromanda
Eurasian Hobby,Falco subbuteo,Falco_subbuteo
Chinese Pond-Heron,Ardeola bacchus,Ardeola_bacchus
Naumann's Thrush,Turdus naumanni,Turdus_naumanni
Silver-breasted Broadbill,Serilophus lunatus,Serilophus_lunatus
Yellow-bellied Flowerpecker,Dicaeum melanoxanthum,Dicaeum_melanoxanthum
Spot-winged Grosbeak,Mycerobas melanozanthos,Mycerobas_melanozanthos
Chestnut-winged Cuckoo,Clamator coromandus,Clamator_coromandus
Mongolian Short-toed Lark,Calandrella brachydactyla,Calandrella_brachydactyla
Blyth's Pipit,Anthus godlewskii,Anthus_godlewskii
Streaked Weaver,Ploceus manyar,Ploceus_manyar
Green-crowned Warbler,Seicercus burkii,Seicercus_burkii
Swamp Francolin,Francolinus gularis,Francolinus_gularis
Vivid Niltava,Niltava vivida,Niltava_vivida
Hooded Pitta,Pitta sordida,Pitta_sordida
Gray-crowned Warbler,Seicercus tephrocephalus,Seicercus_tephrocephalus
Black-crowned Night-Heron,Nycticorax nycticorax,Nycticorax_nycticorax
Red Crossbill,Loxia curvirostra,Loxia_curvirostra
Bronze-winged Jacana,Metopidius indicus,Metopidius_indicus
Cinnamon Bittern,Ixobrychus cinnamomeus,Ixobrychus_cinnamomeus
Purple Heron,Ardea purpurea,Ardea_purpurea
Black Baza,Aviceda leuphotes,Aviceda_leuphotes
Black-faced Bunting,Emberiza spodocephala,Emberiza_spodocephala
Oriental Darter,Anhinga melanogaster,Anhinga_melanogaster
Pallas's Gull,Larus ichthyaetus,Larus_ichthyaetus
Bristled Grassbird,Chaetornis striata,Chaetornis_striata
Blunt-winged Warbler,Acrocephalus concinens,Acrocephalus_concinens
Blyth's Reed Warbler,Acrocephalus dumetorum,Acrocephalus_dumetorum
Eurasian Coot,Fulica atra,Fulica_atra
Lesser Whistling-Duck,Dendrocygna javanica,Dendrocygna_javanica
Slaty-breasted Rail,Gallirallus striatus,Gallirallus_striatus
Graylag Goose,Anser anser,Anser_anser
Gray-headed Parakeet,Psittacula finschii,Psittacula_finschii
Orange-breasted Green-Pigeon,Treron bicinctus,Treron_bicinctus
Booted Eagle,Hieraaetus pennatus,Hieraaetus_pennatus
Pacific Golden-Plover,Pluvialis fulva,Pluvialis_fulva
Common Greenshank,Tringa nebularia,Tringa_nebularia
Eurasian Woodcock,Scolopax rusticola,Scolopax_rusticola
Tufted Duck,Aythya fuligula,Aythya_fuligula
Brown Fish-Owl,Ketupa zeylonensis,Ketupa_zeylonensis
Sand Lark,Calandrella raytal,Calandrella_raytal
Great Slaty Woodpecker,Mulleripicus pulverulentus,Mulleripicus_pulverulentus
Red-necked Falcon,Falco chicquera,Falco_chicquera
Common Buzzard,Buteo buteo,Buteo_buteo
Black-headed Gull,Larus ridibundus,Larus_ridibundus
Rusty-cheeked Scimitar-Babbler,Pomatorhinus erythrogenys,Pomatorhinus_erythrogenys
Desert Wheatear,Oenanthe deserti,Oenanthe_deserti
Blue-tailed Bee-eater,Merops philippinus,Merops_philippinus
Little Grebe,Tachybaptus ruficollis,Tachybaptus_ruficollis
Malayan Night-Heron,Gorsachius melanolophus,Gorsachius_melanolophus
Northern Wheatear,Oenanthe oenanthe,Oenanthe_oenanthe
Dark-sided Thrush,Zoothera marginata,Zoothera_marginata
Swamp Grass Babbler,Prinia burnesii,Prinia_burnesii
Spot-billed Pelican,Pelecanus philippensis,Pelecanus_philippensis
Red-fronted Rosefinch,Carpodacus puniceus,Carpodacus_puniceus
Water Pipit,Anthus spinoletta,Anthus_spinoletta
Indian Thick-knee,Burhinus oedicnemus,Burhinus_oedicnemus
Alexandrine Parakeet,Psittacula eupatria,Psittacula_eupatria
Little Stint,Calidris minuta,Calidris_minuta
Savanna Nightjar,Caprimulgus affinis,Caprimulgus_affinis
Mandarin Duck,Aix galericulata,Aix_galericulata
Himalayan Flameback,Dinopium shorii,Dinopium_shorii
Garganey,Anas querquedula,Anas_querquedula
Northern Lapwing,Vanellus vanellus,Vanellus_vanellus
Burmese Shrike,Lanius collurioides,Lanius_collurioides
Hume's Lark,Calandrella acutirostris,Calandrella_acutirostris
Common Crane,Grus grus,Grus_grus
Indian Paradise-Flycatcher,Terpsiphone paradisi,Terpsiphone_paradisi
Northern Shoveler,Anas clypeata,Anas_clypeata
White-browed Wagtail,Motacilla madaraspatensis,Motacilla_madaraspatensis
Indian Peafowl,Pavo cristatus,Pavo_cristatus
Jungle Babbler,Turdoides striata,Turdoides_striata
Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia_decaocto
Purple Sunbird,Nectarinia asiatica,Nectarinia_asiatica
Common Pochard,Aythya ferina,Aythya_ferina
Gray-headed Swamphen,Porphyrio porphyrio,Porphyrio_porphyrio
Great Egret,Casmerodius albus,Casmerodius_albus
Red-crested Pochard,Netta rufina,Netta_rufina
Red-naped Ibis,Pseudibis papillosa,Pseudibis_papillosa
Gray-headed Fish-Eagle,Ichthyophaga ichthyaetus,Ichthyophaga_ichthyaetus
Pied Bushchat,Saxicola caprata,Saxicola_caprata
Ferruginous Duck,Aythya nyroca,Aythya_nyroca
Green-winged Teal,Anas crecca,Anas_crecca
Siberian Blue Robin,Luscinia cyane,Luscinia_cyane
Fulvous Whistling-Duck,Dendrocygna bicolor,Dendrocygna_bicolor
Common Hawk-Cuckoo,Cuculus varius,Cuculus_varius
Collared Falconet,Microhierax caerulescens,Microhierax_caerulescens
Common Snipe,Gallinago gallinago,Gallinago_gallinago
Tricolored Munia,Lonchura malacca,Lonchura_malacca
Long-tailed Duck,Clangula hyemalis,Clangula_hyemalis
Bank Myna,Acridotheres ginginianus,Acridotheres_ginginianus
Crested Treeswift,Hemiprocne coronata,Hemiprocne_coronata
Satyr Tragopan,Tragopan satyra,Tragopan_satyra
Pied Cuckoo,Clamator jacobinus,Clamator_jacobinus
Stork-billed Kingfisher,Pelargopsis capensis,Pelargopsis_capensis
Indian Gray Hornbill,Ocyceros birostris,Ocyceros_birostris
Crow-billed Drongo,Dicrurus annectans,Dicrurus_annectans
Pink-browed Rosefinch,Carpodacus rodochroa,Carpodacus_rodochroa
Cinereous Vulture,Aegypius monachus,Aegypius_monachus
Eurasian Griffon,Gyps fulvus,Gyps_fulvus
Yellow-wattled Lapwing,Vanellus malarbaricus,Vanellus_malarbaricus
Smew,Mergellus albellus,Mergellus_albellus
Eared Grebe,Podiceps nigricollis,Podiceps_nigricollis
Eurasian Marsh-Harrier,Circus aeruginosus,Circus_aeruginosus
Asian Brown Flycatcher,Muscicapa dauurica,Muscicapa_dauurica
Jungle Owlet,Glaucidium radiatum,Glaucidium_radiatum
Streaked Laughingthrush,Garrulax lineatus,Garrulax_lineatus
Glossy Ibis,Plegadis falcinellus,Plegadis_falcinellus
Cotton Pygmy-Goose,Nettapus coromandelianus,Nettapus_coromandelianus
Forest Wagtail,Dendronanthus indicus,Dendronanthus_indicus
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Dicaeum_erythrorhynchos
Short-toed Snake-Eagle,Circaetus gallicus,Circaetus_gallicus
Indian Golden Oriole,Oriolus oriolus,Oriolus_oriolus
Himalayan Black-lored Tit,Parus xanthogenys,Parus_xanthogenys
Black-headed Ibis,Threskiornis melanocephalus,Threskiornis_melanocephalus
Demoiselle Crane,Grus virgo,Grus_virgo
Black-breasted Weaver,Ploceus benghalensis,Ploceus_benghalensis
Common Quail,Coturnix coturnix,Coturnix_coturnix
Common Chiffchaff,Phylloscopus collybita,Phylloscopus_collybita
Short-eared Owl,Asio flammeus,Asio_flammeus
Eastern Marsh-Harrier,Circus spilonotus,Circus_spilonotus
Falcated Duck,Anas falcata,Anas_falcata
Spotted Redshank,Tringa erythropus,Tringa_erythropus
Indian Roller,Coracias benghalensis,Coracias_benghalensis
Hume's Warbler,Phylloscopus humei,Phylloscopus_humei
Pheasant-tailed Jacana,Hydrophasianus chirurgus,Hydrophasianus_chirurgus
Pin-tailed Snipe,Gallinago stenura,Gallinago_stenura
Greater Spotted Eagle,Aquila clanga,Aquila_clanga
Indian Spotted Eagle,Aquila hastata,Aquila_hastata
Kentish Plover,Charadrius alexandrinus,Charadrius_alexandrinus
White-bellied Drongo,Dicrurus caerulescens,Dicrurus_caerulescens
Common Shelduck,Tadorna tadorna,Tadorna_tadorna
Plum-headed Parakeet,Psittacula cyanocephala,Psittacula_cyanocephala
Pied Avocet,Recurvirostra avosetta,Recurvirostra_avosetta
Upland Buzzard,Buteo hemilasius,Buteo_hemilasius
Gray-necked Bunting,Emberiza buchanani,Emberiza_buchanani
Yellow-vented Flowerpecker,Dicaeum chrysorrheum,Dicaeum_chrysorrheum
Eastern Spot-billed Duck,Anas poecilorhyncha,Anas_poecilorhyncha
Himalayan Shrike-Babbler,Pteruthius flaviscapis,Pteruthius_flaviscapis
Black-headed Cuckooshrike,Coracina melanoptera,Coracina_melanoptera
Violet Cuckoo,Chrysococcyx xanthorhynchus,Chrysococcyx_xanthorhynchus
Fulvous Parrotbill,Paradoxornis fulvifrons,Paradoxornis_fulvifrons
Great Parrotbill,Conostoma oemodium,Conostoma_oemodium
Booted Warbler,Hippolais caligata,Hippolais_caligata
Marsh Sandpiper,Tringa stagnatilis,Tringa_stagnatilis
Small Minivet,Pericrocotus cinnamomeus,Pericrocotus_cinnamomeus
Black-winged Stilt,Himantopus himantopus,Himantopus_himantopus
Black-winged Stilt,Himantopus leucocephalus,Himantopus_leucocephalus
Black-winged Stilt,Himantopus mexicanus,Himantopus_mexicanus
European Starling,Sturnus vulgaris,Sturnus_vulgaris
Greater Painted-Snipe,Rostratula benghalensis,Rostratula_benghalensis
Streak-throated Woodpecker,Picus xanthopygaeus,Picus_xanthopygaeus
Greater Short-toed Lark,Calandrella brachydactyla,Calandrella_brachydactyla
Little Swift,Apus affinis,Apus_affinis
Indian Robin,Saxicoloides fulicatus,Saxicoloides_fulicatus
Gray-bellied Cuckoo,Cacomantis passerinus,Cacomantis_passerinus
Black-backed Dwarf-Kingfisher,Ceyx erithaca,Ceyx_erithaca
Black-backed Dwarf-Kingfisher,Ceyx rufidorsa,Ceyx_rufidorsa
Black Bittern,Ixobrychus flavicollis,Ixobrychus_flavicollis
Indian Scops-Owl,Otus bakkamoena,Otus_bakkamoena
Black-headed Bunting,Emberiza melanocephala,Emberiza_melanocephala
Brahminy Starling,Sturnus pagodarum,Sturnus_pagodarum
Wood Sandpiper,Tringa glareola,Tringa_glareola
Blossom-headed Parakeet,Psittacula roseata,Psittacula_roseata
Common Goldeneye,Bucephala clangula,Bucephala_clangula
Common Tern,Sterna hirundo,Sterna_hirundo
Imperial Eagle,Aquila heliaca,Aquila_heliaca
White-tailed Eagle,Haliaeetus albicilla,Haliaeetus_albicilla
Dunlin,Calidris alpina,Calidris_alpina
Ruff,Philomachus pugnax,Philomachus_pugnax
Eurasian Spoonbill,Platalea leucorodia,Platalea_leucorodia
Brown Crake,Amaurornis akool,Amaurornis_akool
Tree Pipit,Anthus trivialis,Anthus_trivialis
Red-billed Blue-Magpie,Urocissa erythrorhyncha,Urocissa_erythrorhyncha
Brahminy Kite,Haliastur indus,Haliastur_indus
Eurasian Curlew,Numenius arquata,Numenius_arquata
Asian Stubtail,Urosphena squameiceps,Urosphena_squameiceps
Pallas's Fish-Eagle,Haliaeetus leucoryphus,Haliaeetus_leucoryphus
Common Raven,Corvus corax,Corvus_corax
Robin Accentor,Prunella rubeculoides,Prunella_rubeculoides
Twite,Carduelis flavirostris,Carduelis_flavirostris
Hill Pigeon,Columba rupestris,Columba_rupestris
Horned Lark,Eremophila alpestris,Eremophila_alpestris
Little Owl,Athene noctua,Athene_noctua
Rufous-necked Snowfinch,Montifringilla ruficollis,Montifringilla_ruficollis
White-rumped Snowfinch,Montifringilla taczanowskii,Montifringilla_taczanowskii
Black-winged Snowfinch,Montifringilla adamsi,Montifringilla_adamsi
Ground Tit,Pseudopodoces humilis,Pseudopodoces_humilis
Upland Pipit,Anthus sylvanus,Anthus_sylvanus
Great Rosefinch,Carpodacus rubicilla,Carpodacus_rubicilla
Slaty-headed Parakeet,Psittacula himalayana,Psittacula_himalayana
Streaked Rosefinch,Carpodacus rubicilloides,Carpodacus_rubicilloides
Lesser Sand-Plover,Charadrius mongolus,Charadrius_mongolus
Isabelline Wheatear,Oenanthe isabellina,Oenanthe_isabellina
Black Francolin,Francolinus francolinus,Francolinus_francolinus
Jack Snipe,Lymnocryptes minimus,Lymnocryptes_minimus
Bonelli's Eagle,Aquila fasciatus,Aquila_fasciatus
Sykes's Warbler,Hippolais rama,Hippolais_rama
Laughing Dove,Stigmatopelia senegalensis,Stigmatopelia_senegalensis
Blanford's Snowfinch,Montifringilla blanfordi,Montifringilla_blanfordi
Common Woodshrike,Tephrodornis pondicerianus,Tephrodornis_pondicerianus
Black-rumped Magpie,Pica pica,Pica_pica
Slender-billed Gull,Larus genei,Larus_genei
Red-breasted Flycatcher,Ficedula parva,Ficedula_parva
Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocorax_fuscicollis
Ruddy-breasted Crake,Porzana fusca,Porzana_fusca
Tibetan Partridge,Perdix hodgsoniae,Perdix_hodgsoniae
Tibetan Snowcock,Tetraogallus tibetanus,Tetraogallus_tibetanus
Oriental Cuckoo,Cuculus saturatus,Cuculus_saturatus
Red-necked Grebe,Podiceps grisegena,Podiceps_grisegena
Eurasian Eagle-Owl,Bubo bubo,Bubo_bubo
Wood Snipe,Gallinago nemoricola,Gallinago_nemoricola
Amur Stonechat,Saxicola torquatus,Saxicola_torquatus
Common Chaffinch,Fringilla coelebs,Fringilla_coelebs
Eurasian Magpie,Pica pica,Pica_pica
Blue-capped Redstart,Phoenicurus caeruleocephala,Phoenicurus_caeruleocephala
White-backed Thrush,Turdus kessleri,Turdus_kessleri
Pacific Swift,Apus pacificus,Apus_pacificus
Ashy Prinia,Prinia socialis,Prinia_socialis
Dark-rumped Swift,Apus acuticauda,Apus_acuticauda
Gray-crowned Prinia,Prinia cinereocapilla,Prinia_cinereocapilla
Fork-tailed Drongo-Cuckoo,Surniculus lugubris,Surniculus_lugubris
Oriental Pratincole,Glareola maldivarum,Glareola_maldivarum
Red-necked Phalarope,Phalaropus lobatus,Phalaropus_lobatus
White-capped Bunting,Emberiza stewarti,Emberiza_stewarti
Bay-backed Shrike,Lanius vittatus,Lanius_vittatus
Eurasian Treecreeper,Certhia familiaris,Certhia_familiaris
Plain Swift,Apus unicolor,Apus_unicolor
Pale Sand Martin,Riparia riparia,Riparia_riparia
Pied Thrush,Zoothera wardii,Zoothera_wardii
Lesser Black-backed Gull,Larus fuscus,Larus_fuscus
Indian Pitta,Pitta brachyura,Pitta_brachyura
Whiskered Tern,Chlidonias hybrida,Chlidonias_hybrida
Alpine Swift,Tachymarptis melba,Tachymarptis_melba
Greater Adjutant,Leptoptilos dubius,Leptoptilos_dubius
Lesser Whitethroat,Sylvia althaea,Sylvia_althaea
Lesser Whitethroat,Sylvia curruca,Sylvia_curruca
Lesser Whitethroat,Sylvia minula,Sylvia_minula
Tawny Pipit,Anthus campestris,Anthus_campestris
Himalayan Rubythroat,Luscinia pectoralis,Luscinia_pectoralis
Greater White-fronted Goose,Anser albifrons,Anser_albifrons
Brown Accentor,Prunella fulvescens,Prunella_fulvescens
Curlew Sandpiper,Calidris ferruginea,Calidris_ferruginea
White-throated Bushchat,Saxicola insignis,Saxicola_insignis
Rosy Starling,Sturnus roseus,Sturnus_roseus
White-rumped Needletail,Zoonavena sylvatica,Zoonavena_sylvatica
European Roller,Coracias garrulus,Coracias_garrulus
Eurasian Siskin,Carduelis spinus,Carduelis_spinus
Greater Scaup,Aythya marila,Aythya_marila
Eurasian Jackdaw,Corvus monedula,Corvus_monedula
European Goldfinch,Carduelis carduelis,Carduelis_carduelis
White-cheeked Nuthatch,Sitta leucopsis,Sitta_leucopsis
Rock Bunting,Emberiza cia,Emberiza_cia
Egyptian Vulture,Neophron percnopterus,Neophron_percnopterus
Western Crowned Warbler,Phylloscopus occipitalis,Phylloscopus_occipitalis
Black-headed Jay,Garrulus lanceolatus,Garrulus_lanceolatus
Mistle Thrush,Turdus viscivorus,Turdus_viscivorus
Scaly-bellied Woodpecker,Picus squamatus,Picus_squamatus
Variegated Laughingthrush,Garrulax variegatus,Garrulax_variegatus
Himalayan Woodpecker,Dendrocopos himalayensis,Dendrocopos_himalayensis
Common Wood-Pigeon,Columba palumbus,Columba_palumbus
Black-chinned Babbler,Stachyris pyrrhops,Stachyris_pyrrhops
Black-throated Accentor,Prunella atrogularis,Prunella_atrogularis
Brown-fronted Woodpecker,Dendrocopos auriceps,Dendrocopos_auriceps
Kashmir Nuthatch,Sitta cashmirensis,Sitta_cashmirensis
Carrion Crow,Corvus corone,Corvus_corone
Black-and-yellow Grosbeak,Mycerobas icterioides,Mycerobas_icterioides
Orange Bullfinch,Pyrrhula aurantiaca,Pyrrhula_aurantiaca
Ashy-crowned Sparrow-Lark,Eremopterix griseus,Eremopterix_griseus
Crested Lark,Galerida cristata,Galerida_cristata
Brown-headed Barbet,Megalaima zeylanica,Megalaima_zeylanica
Yellow-throated Sparrow,Petronia xanthocollis,Petronia_xanthocollis
Brown Rock Chat,Cercomela fusca,Cercomela_fusca
Common Babbler,Turdoides caudata,Turdoides_caudata
